task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
96	2e/f0c27e	10518865	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 05:44:11.086	5m 37s	5m 29s	98.0%	3.5 MB	209.9 MB	17.4 GB	5.5 KB
105	2b/5f4f3f	10518893	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:47:56.326	1m 52s	1m 38s	97.4%	116.8 MB	146.9 MB	3.9 GB	270.6 MB
106	fa/fce157	10518894	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:47:58.793	1m 49s	1m 41s	96.6%	123.5 MB	153.6 MB	4 GB	277.4 MB
107	a7/3d5085	10518899	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:48:40.255	3m 18s	37s	90.9%	4.4 MB	18.5 MB	1.6 GB	1.6 GB
108	4b/6be78a	10518900	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:48:40.437	3m 18s	40s	81.2%	4.4 MB	18.5 MB	1.5 GB	1.5 GB
110	15/88aee6	10518932	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:51:58.799	2m 7s	1m 56s	97.5%	123.7 MB	153.8 MB	4.6 GB	312.8 MB
109	4f/072925	10518931	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:51:58.651	2m 10s	2m 3s	94.6%	126.9 MB	156.9 MB	4.8 GB	321.3 MB
78	8a/5f3a2e	10518632	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:12:50.908	48m 39s	47m 54s	99.7%	34.8 GB	35.2 GB	15.6 GB	296.4 KB
86	8d/10c9e1	10518870	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:44:16.096	23m 19s	23m 15s	99.1%	5.7 MB	211.4 MB	14.7 GB	295.8 KB
89	4b/4227ed	10518858	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:44:00.904	23m 44s	23m 37s	99.1%	5.7 MB	211.4 MB	14.3 GB	297.1 KB
93	d3/12bfd6	10518872	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 05:44:18.704	25m 57s	25m 48s	99.3%	5.5 MB	211.4 MB	16.2 GB	298 KB
99	2d/882232	10518859	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 05:44:03.305	27m 42s	27m 34s	99.3%	5.2 MB	211.4 MB	18.3 GB	299.5 KB
98	e8/bf4284	10518860	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 05:44:03.458	28m 37s	28m 32s	99.4%	5.3 MB	211.4 MB	16.9 GB	300 KB
95	0c/dcab53	10518857	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 05:44:00.686	29m	28m 51s	99.0%	5.4 MB	211.4 MB	17.4 GB	297.4 KB
84	3c/4ec45b	10518852	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:43:33.291	36m 23s	36m 5s	100.2%	1 MB	11 MB	16 GB	283.1 KB
49	4c/530584	10518269	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 04:22:59.094	2h 8m 8s	2h 4m 36s	107.6%	30 GB	33.6 GB	43.7 GB	28.9 GB
112	ec/490635	10519204	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:31:12.685	7m 21s	3m 46s	148.8%	91 MB	250.9 MB	17.7 GB	7 MB
123	82/2008d7	10519241	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:38:43.646	3m 30s	7s	64.1%	1.2 MB	11 MB	47 MB	715 B
121	66/ebf47a	10519243	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:38:46.342	4m 51s	1m 32s	99.3%	1.2 MB	11 MB	589.1 MB	63.9 MB
116	d8/5107eb	10519202	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:31:12.266	20m 37s	17m 3s	171.5%	3.2 GB	3.7 GB	71.2 GB	40.2 GB
124	bc/118997	10519294	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:51:50.109	1m 10s	3s	33.0%	3.2 MB	19 MB	15.1 MB	3.4 KB
114	ef/11f329	10519203	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:31:12.523	26m 38s	23m 1s	113.7%	781.9 MB	1 GB	18.4 GB	289.3 MB
120	3e/5b929e	10519240	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:38:41.026	19m 56s	16m 32s	99.8%	108.9 MB	352.8 MB	17.7 GB	97.2 MB
122	71/ea10e1	10519238	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:38:38.643	22m 46s	19m 17s	100.2%	34.8 MB	273 MB	17.7 GB	1.2 KB
119	11/ba837e	10519239	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:38:38.825	25m 28s	21m 57s	100.0%	4.7 GB	4.9 GB	17.7 GB	16.9 KB
51	a2/7aac1a	10518367	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 04:42:13.280	2h 23m 42s	2h 22m 7s	110.9%	29.9 GB	33.6 GB	49.3 GB	33.5 GB
118	80/19637f	10519242	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:38:46.141	28m 5s	24m 45s	99.9%	1 MB	11 MB	17.8 GB	1.6 KB
126	1e/1a72a1	10519383	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:05:56.032	5m 21s	4m 6s	148.7%	95.4 MB	257.2 MB	18.9 GB	7.4 MB
136	68/e0b56f	10519415	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:11:19.569	2m 47s	7s	65.7%	39.9 MB	279.8 MB	46.6 MB	715 B
132	25/e61dfc	10519416	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:11:20.343	3m 57s	1m 17s	97.5%	733.8 MB	1.2 GB	512 MB	63.2 MB
130	1a/9c3490	10519381	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:05:55.834	16m 37s	15m 24s	191.1%	3.1 GB	3.5 GB	66.5 GB	35.8 GB
138	8e/3f8dbd	10519472	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:22:32.923	9.7s	3s	35.0%	4.8 MB	20.3 MB	15.1 MB	3.5 KB
117	87/b25a3c	10519237	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (LIVER_RNA_HET_2_S5_L001)	FAILED	137	2023-08-27 06:38:35.974	48m 48s	45m 21s	-	-	-	-	-
128	4a/008336	10519382	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:05:55.944	22m 19s	21m 6s	113.8%	758.8 MB	982.5 MB	19.6 GB	291.1 MB
115	87/af9046	10519200	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 06:31:09.931	57m 45s	54m 5s	108.3%	19.7 GB	24.5 GB	38.1 GB	5.5 GB
141	5b/b97210	10519498	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 07:28:54.871	33.7s	31s	91.3%	4.4 MB	18.5 MB	1.4 GB	1.4 GB
140	dc/d1ff37	10519499	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 07:28:55.035	33.6s	28s	99.2%	4.4 MB	18.5 MB	1.4 GB	1.4 GB
142	9d/a31f2f	10519502	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 07:29:31.446	1m 59s	1m 49s	94.1%	120.7 MB	150.7 MB	4.2 GB	290.2 MB
143	18/1f8071	10519503	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 07:29:31.565	2m	1m 47s	93.9%	120.1 MB	150.2 MB	4.1 GB	283.2 MB
133	47/d10d58	10519419	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:11:23.793	21m 23s	18m 43s	99.6%	111.5 MB	353.4 MB	19 GB	100.3 MB
135	f4/e6ab84	10519420	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:11:24.601	22m 56s	20m 21s	99.8%	34.8 MB	273 MB	18.9 GB	1.2 KB
137	c7/0b8260	10519418	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:11:22.932	27m 13s	24m 36s	99.9%	4.3 GB	4.6 GB	18.9 GB	17 KB
134	88/1ec749	10519417	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:11:21.885	33m 42s	31m 2s	99.9%	907.7 MB	1.1 GB	19 GB	1.6 KB
81	58/fa9fd3	10518786	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 05:31:32.405	2h 16m 7s	2h 15m 55s	110.0%	29.9 GB	33.6 GB	48.4 GB	33 GB
145	48/9fc639	10520644	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:47:40.126	4m 14s	4m 8s	147.4%	97.2 MB	255.9 MB	18.5 GB	7.7 MB
153	9f/c79c57	10520714	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:51:54.362	29.4s	15s	34.5%	30.4 MB	264.4 MB	47.2 MB	715 B
131	3f/14a619	10519421	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (P7_LIVER_RNA_HET_3_S6_L001)	FAILED	137	2023-08-27 07:11:25.233	42m 20s	39m 49s	-	-	-	-	-
156	80/82eafe	10520715	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:51:54.463	1m 59s	1m 43s	88.3%	628.9 MB	913.4 MB	596 MB	63.5 MB
83	ba/99b920	10518809	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 05:36:23.962	2h 27m 29s	2h 23m 58s	111.2%	30 GB	33.6 GB	50.9 GB	34.2 GB
125	ad/72e1dd	10519384	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:05:56.169	1h 1m 27s	1h 16s	109.6%	25.6 GB	31.9 GB	41.4 GB	7.3 GB
149	58/8574e2	10520641	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:47:39.655	21m 34s	21m 29s	161.2%	3.7 GB	4.2 GB	82.8 GB	48.3 GB
151	b7/e6705a	10520716	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:51:54.546	17m 25s	17m 11s	98.8%	1.2 MB	11 MB	18.6 GB	106.9 MB
166	7c/64841a	10520789	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 08:09:13.675	45.1s	5s	21.5%	9 MB	19.9 MB	15.1 MB	3.5 KB
139	6d/23e4c2	10519492	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 07:27:23.774	42m 47s	42m 40s	99.9%	1 MB	11 MB	17.7 GB	308.3 KB
165	52/530a1c	10520785	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 08:07:23.621	3m 16s	38s	96.4%	4.4 MB	18.5 MB	1.8 GB	1.8 GB
164	5f/5d07a3	10520786	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 08:07:23.709	3m 17s	40s	92.2%	4.4 MB	18.5 MB	1.8 GB	1.8 GB
159	c6/1ebb31	10520768	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:03:53.451	6m 56s	4m 20s	145.2%	108.6 MB	269.1 MB	20 GB	7.8 MB
152	29/d973e0	10520717	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:51:54.681	19m 20s	18m 59s	98.8%	1.2 MB	11 MB	18.5 GB	16.9 KB
150	8a/c366d2	10520712	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:51:54.090	20m 1s	19m 45s	99.3%	34.6 MB	273 MB	18.5 GB	1.2 KB
147	82/dc18da	10520642	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:47:39.780	25m 42s	25m 34s	112.3%	763.2 MB	1 GB	19.2 GB	290.5 MB
173	6c/97c003	10520805	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:10:58.039	2m 32s	6s	82.3%	37.9 MB	286.7 MB	48.2 MB	714 B
169	88/c0b3b6	10520796	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:10:52.161	3m 57s	1m 26s	98.3%	634 MB	913.2 MB	727.7 MB	64.2 MB
167	6f/3e79b1	10520793	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 08:10:41.237	4m 58s	2m 15s	96.9%	130 MB	160.1 MB	5.4 GB	355.2 MB
168	39/a2ef5f	10520794	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 08:10:42.164	5m 4s	2m 18s	97.2%	133.8 MB	163.9 MB	5.5 GB	364.1 MB
183	ba/daa690	10520799	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 08:10:53.707	6m 6s	1s	25.2%	3 MB	12.1 MB	7.6 MB	6.4 KB
187	4e/a015da	10520803	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:10:56.832	6m 3s	0ms	35.5%	1.6 MB	5.4 MB	8 MB	6.4 KB
176	81/d9eaec	10520810	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 08:11:02.090	5m 58s	1s	25.9%	2.7 MB	12 MB	6.9 MB	6.4 KB
182	d3/2e9827	10520812	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 08:11:04.235	5m 56s	1s	27.4%	3 MB	12.1 MB	7.2 MB	6.4 KB
68	f9/563302	10518588	NFCORE_RNASEQ:RNASEQ:DUPRADAR (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:04:58.582	3h 12m 26s	3h 7m 59s	80.6%	584.6 MB	867.2 MB	236 GB	134.1 GB
154	1f/edf135	10520718	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 07:51:54.774	25m 55s	25m 41s	99.2%	1 MB	11 MB	18.6 GB	1.6 KB
184	fc/662aed	10520817	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 08:11:09.310	8m 43s	1s	31.4%	1.6 MB	5.4 MB	7.9 MB	6.4 KB
179	b1/3eb00f	10520821	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 08:11:13.948	8m 38s	1s	24.0%	1.6 MB	5.4 MB	7 MB	6.4 KB
177	b4/d421b8	10520802	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 08:10:56.316	10m 54s	4m 51s	95.7%	3.5 MB	209.9 MB	16 GB	5.5 KB
190	ef/f25bd2	10520811	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 08:11:03.166	11m 7s	5m 12s	97.9%	3.5 MB	209.9 MB	17.7 GB	5.5 KB
191	2d/b36071	10520809	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 08:11:01.224	11m 39s	5m 42s	97.2%	3.5 MB	209.9 MB	18.9 GB	5.5 KB
193	85/5c8ba6	10520808	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:11:00.350	11m 51s	5m 50s	96.5%	3.4 MB	209.9 MB	20 GB	5.5 KB
180	8d/a0c39c	10520814	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 08:11:06.183	13m 25s	4m 40s	97.5%	3.5 MB	209.9 MB	15.6 GB	5.5 KB
192	64/0dbf36	10520815	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-27 08:11:07.158	14m 36s	5m 49s	94.5%	3.5 MB	209.9 MB	18.5 GB	5.5 KB
174	a0/af8a6f	10520818	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:11:10.429	20m 8s	17m 55s	99.9%	107.6 MB	353.5 MB	20 GB	99.7 MB
162	54/7c2d82	10520770	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:03:53.813	28m 29s	25m 56s	113.2%	917.2 MB	1.1 GB	20.7 GB	289.1 MB
170	d7/88c0ff	10520804	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:10:57.244	22m 7s	19m 39s	99.9%	34.8 MB	273 MB	20 GB	1.2 KB
163	0f/db5ca0	10520767	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:03:53.292	29m 15s	26m 44s	142.0%	3.9 GB	4.5 GB	91.8 GB	53.9 GB
194	f5/16565d	10520929	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:33:08.226	10.6s	1s	71.1%	4.8 MB	20.4 MB	15.1 MB	3.4 KB
175	5e/f622eb	10520801	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:10:55.477	27m 23s	24m 58s	99.9%	5.4 GB	5.7 GB	20 GB	16.8 KB
172	5e/857243	10520807	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-27 08:10:59.513	29m 1s	26m 38s	99.9%	907.7 MB	1.1 GB	20.1 GB	1.6 KB
157	8f/770649	10520730	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 07:53:45.824	47m 14s	45m 13s	99.8%	1 MB	11 MB	18.9 GB	299.4 KB
